"","id","sample","hexaco2","hexaco3","hexaco4","hexaco6","hexaco7","hexaco8","hexaco12","hexaco16","hexaco20","hexaco33","hexaco35","hexaco37","hexaco41","hexaco46","hexaco47","hexaco48","hexaco52","hexaco53","hexaco57","hexaco62","hexaco65","hexaco68","hexaco69","hexaco71","hexaco73","hexaco78","hexaco80","hexaco81","hexaco82","hexaco89","hexaco94","hexaco97","hexaco99","hexaco111","hexaco112","hexaco120","hexaco121","hexaco127","hexaco130","hexaco131","hexaco134","hexaco135","hexaco138","hexaco139","hexaco146","hexaco154","hexaco157","hexaco160","hexaco162","hexaco164","hexaco165","hexaco170","hexaco171","hexaco173","hexaco175","hexaco180","hexaco186","hexaco187","hexaco191","hexaco192"
"2717",100285,"research",3,4,2,3,2,4,4,4,3,4,4,2,2,4,3,2,2,4,2,4,3,3,3,2,2,3,2,2,4,4,2,4,2,3,4,4,2,4,2,2,2,4,4,4,5,2,5,5,4,2,2,2,2,4,2,3,3,4,4,1
"2718",101585,"research",3,4,2,4,3,5,5,3,3,2,4,1,2,4,4,2,1,3,4,2,4,3,4,3,2,1,2,4,4,4,2,3,2,4,4,4,2,4,4,3,4,4,2,4,4,4,4,4,4,4,3,3,3,4,1,2,2,3,3,4
"2719",100233,"research",3,4,2,1,3,4,4,4,4,2,3,4,3,4,4,2,3,3,4,3,3,5,4,4,3,4,3,4,4,3,2,2,3,2,3,4,3,3,3,2,3,3,5,3,4,3,2,4,4,2,2,2,3,4,4,3,1,4,3,1
"2720",100063,"research",3,4,2,2,2,4,4,4,2,2,3,2,2,3,3,2,2,3,3,2,4,2,4,2,2,3,3,4,4,4,3,2,3,4,2,3,2,4,2,2,4,3,4,3,2,2,4,4,5,4,2,4,2,2,2,4,1,2,4,2
"2721",100100,"research",3,4,2,1,2,4,5,2,3,3,4,5,2,2,3,2,4,5,2,1,4,5,3,2,5,5,2,2,2,4,3,2,2,3,4,3,5,5,2,2,4,2,5,2,4,3,1,4,4,2,3,4,2,2,2,3,2,2,2,2
"2722",100125,"research",3,4,2,1,2,4,5,4,3,2,4,2,2,3,2,2,2,4,4,4,4,4,4,2,2,4,3,4,3,3,3,2,2,4,4,4,3,5,3,2,2,4,1,2,4,2,4,3,4,2,2,3,1,2,1,2,3,2,3,2
"2723",100886,"research",3,4,2,2,1,2,3,2,2,2,4,3,2,2,2,3,3,4,4,2,4,4,4,2,3,4,3,2,2,3,3,2,2,4,4,3,4,4,4,2,2,3,4,2,4,2,3,2,4,2,3,2,1,2,1,2,2,3,2,3
"2724",213410,"applicant",3,4,2,2,1,4,4,4,3,2,5,3,1,2,2,2,2,4,3,4,3,5,5,1,3,4,2,2,3,3,3,2,2,4,3,4,4,5,4,2,2,3,4,2,2,2,2,2,3,4,2,2,1,2,1,2,3,1,2,3
"2725",102048,"research",3,4,2,2,2,2,4,2,3,2,4,4,4,1,2,2,2,3,3,2,3,4,4,2,4,4,2,3,2,2,3,4,2,4,4,4,2,5,4,2,2,2,4,1,3,2,4,2,3,2,2,4,1,2,1,2,2,2,2,3
"2726",100035,"research",3,4,2,2,2,4,4,4,2,2,4,2,1,2,2,2,3,4,2,3,2,2,4,1,3,4,3,3,4,4,3,2,2,3,4,3,3,1,5,1,4,2,2,2,4,2,5,2,2,3,3,2,2,1,1,2,4,2,2,2
